datetime,symbol,open,high,low,close,volume,close_one_month_after
2/5/2005 21:00,MYX:FCPO1!,1428,1436,1425,1433,2057,1362
3/5/2005 21:00,MYX:FCPO1!,1435,1435,1411,1411,4684,1373
4/5/2005 21:00,MYX:FCPO1!,1415,1420,1405,1413,3817,1380
5/5/2005 21:00,MYX:FCPO1!,1414,1423,1410,1416,2442,1377
9/5/2005 21:00,MYX:FCPO1!,1432,1436,1426,1429,3131,1395
10/5/2005 21:00,MYX:FCPO1!,1425,1426,1381,1405,6371,1409
11/5/2005 21:00,MYX:FCPO1!,1401,1414,1396,1414,2346,1422
12/5/2005 21:00,MYX:FCPO1!,1407,1413,1402,1407,1575,1433
16/5/2005 21:00,MYX:FCPO1!,1395,1404,1381,1382,5044,1436
17/5/2005 21:00,MYX:FCPO1!,1377,1398,1377,1392,3907,1440
18/5/2005 21:00,MYX:FCPO1!,1399,1403,1390,1393,3362,1409
19/5/2005 21:00,MYX:FCPO1!,1389,1391,1380,1384,2624,1422
23/5/2005 21:00,MYX:FCPO1!,1391,1397,1387,1389,2346,1408
24/5/2005 21:00,MYX:FCPO1!,1393,1395,1385,1392,2398,1412
25/5/2005 21:00,MYX:FCPO1!,1400,1408,1396,1402,3302,1436
26/5/2005 21:00,MYX:FCPO1!,1411,1423,1411,1417,3961,1429
30/5/2005 21:00,MYX:FCPO1!,1424,1424,1408,1412,3445,1411
31/5/2005 21:00,MYX:FCPO1!,1407,1408,1392,1393,2884,1417
1/6/2005 21:00,MYX:FCPO1!,1397,1399,1385,1390,3179,1423
2/6/2005 21:00,MYX:FCPO1!,1380,1393,1378,1391,2296,1420
6/6/2005 21:00,MYX:FCPO1!,1404,1404,1388,1389,2345,1419
7/6/2005 21:00,MYX:FCPO1!,1388,1394,1384,1389,1478,1418
8/6/2005 21:00,MYX:FCPO1!,1384,1386,1361,1362,5785,1411
9/6/2005 21:00,MYX:FCPO1!,1367,1385,1367,1373,4021,1411
13/6/2005 21:00,MYX:FCPO1!,1380,1384,1374,1380,1786,1408
14/6/2005 21:00,MYX:FCPO1!,1375,1388,1371,1377,2446,1382
15/6/2005 21:00,MYX:FCPO1!,1395,1399,1390,1395,3400,1365
16/6/2005 21:00,MYX:FCPO1!,1393,1410,1388,1409,3913,1363
20/6/2005 21:00,MYX:FCPO1!,1431,1435,1420,1422,3486,1378
21/6/2005 21:00,MYX:FCPO1!,1435,1442,1431,1433,3948,1377
22/6/2005 21:00,MYX:FCPO1!,1425,1440,1419,1436,3091,1356
23/6/2005 21:00,MYX:FCPO1!,1436,1444,1434,1440,2032,1366
27/6/2005 21:00,MYX:FCPO1!,1405,1417,1401,1409,5179,1352
28/6/2005 21:00,MYX:FCPO1!,1410,1423,1409,1422,2536,1344
29/6/2005 21:00,MYX:FCPO1!,1424,1424,1402,1408,3014,1349
30/6/2005 21:00,MYX:FCPO1!,1405,1414,1403,1412,2508,1357
4/7/2005 21:00,MYX:FCPO1!,1420,1436,1419,1436,3679,1367
5/7/2005 21:00,MYX:FCPO1!,1446,1446,1426,1429,3169,1378
6/7/2005 21:00,MYX:FCPO1!,1432,1435,1408,1411,3210,1377
