#{"t_start": 1758646883.459195, "env_id": "None"}
r,l,t
21389.260353,90,3.582621
-73178.748394,90,3.816379
-79496.750117,90,4.051421
4262.327228,90,4.276315
-37554.432349,90,4.504305
-44144.939745,90,4.735587
-155928.659088,90,4.970068
-28829.621581,90,5.199121
-9894.333751,90,5.44417
-81975.948141,90,5.68167
-70751.651911,90,5.912249
30926.262816,90,6.153231
-1429.804535,90,6.388132
13725.433325,90,6.622859
-41072.103452,90,6.904055
-45955.71061,90,7.147302
10384.317689,90,7.385402
-62656.329913,90,7.624622
-54047.679116,90,7.854875
-41021.068913,90,8.087133
16937.883637,90,8.315392
-101748.064026,90,8.549137
-136631.50972,90,10.170627
21132.299866,90,10.451009
-60860.898315,90,10.701519
-58364.528254,90,10.931859
-23529.997867,90,11.183376
-105193.716024,90,11.426537
6058.773799,90,11.675371
-54397.407708,90,11.941251
-2298.106119,90,12.200402
64390.9074,90,12.438664
-97916.780502,90,12.681644
-55703.974704,90,12.918176
-89671.775788,90,13.156625
42207.56435,90,13.388935
105842.141148,90,13.625542
11911.821574,90,13.884255
34958.948834,90,14.145823
-36769.708915,90,14.404176
-147028.957535,90,14.64989
45002.485407,90,14.891434
148437.479799,90,15.13265
-3601.555249,90,15.369166
-124506.461866,90,15.613382
-85464.570637,90,17.169598
44198.942189,90,17.436805
-25973.604023,90,17.676412
-70357.412921,90,17.911216
40096.281848,90,18.137006
-47415.355375,90,18.370897
-145179.372304,90,18.600879
-73516.496554,90,18.83686
3175.476118,90,19.066039
-67688.686588,90,19.295521
17969.405658,90,19.520002
-87765.041484,90,19.755789
33631.000685,90,19.984185
17999.131393,90,20.221134
-7802.7474,90,20.45429
-32631.564402,90,20.680838
31165.705649,90,20.933407
32311.218521,90,21.182903
-25671.898538,90,21.419177
-62662.310895,90,21.648554
-51772.913567,90,21.888831
-45656.328698,90,22.124362
-91028.019473,90,22.362494
-91077.588704,90,23.935582
57031.355605,90,24.183468
-26410.611961,90,24.415319
20106.533279,90,24.644399
-71213.736763,90,24.886881
-67913.953199,90,25.10943
28784.920954,90,25.350295
-70780.766383,90,25.586798
-99230.690604,90,25.830679
-52337.13984,90,26.074403
87336.388558,90,26.314251
-5590.411468,90,26.55784
24465.544485,90,26.806672
-125091.907507,90,27.054168
-150083.861977,90,27.300082
1515.939942,90,27.549095
-60196.525629,90,27.789984
-70708.7028,90,28.028599
-71641.23744,90,28.264353
49982.327795,90,28.500583
-29374.47116,90,28.731481
-2836.950954,90,28.962746
44692.507158,90,29.199536
1428.817156,90,30.766658
17912.762194,90,31.019466
854.038236,90,31.276312
-8199.180737,90,31.510757
59344.219027,90,31.751258
18301.386849,90,31.984272
49651.451496,90,32.219781
-92889.135569,90,32.444417
-105043.850273,90,32.677745
-21098.43003,90,32.910442
-30432.066334,90,33.140715
-33062.860049,90,33.369496
-131218.285857,90,33.601717
-29633.608364,90,33.836654
-9212.903023,90,34.084383
2978.672437,90,34.329144
-50748.635666,90,34.554891
-75132.502021,90,34.783108
35099.70708,90,35.017074
71889.278646,90,35.254771
17964.744605,90,35.491842
-16299.526785,90,35.72217
