datetime,symbol,open,high,low,close,volume,close_tmr
2/5/2005 21:00,MYX:FCPO1!,1428,1436,1425,1433,2057,1411
3/5/2005 21:00,MYX:FCPO1!,1435,1435,1411,1411,4684,1413
4/5/2005 21:00,MYX:FCPO1!,1415,1420,1405,1413,3817,1416
5/5/2005 21:00,MYX:FCPO1!,1414,1423,1410,1416,2442,1422
9/5/2005 10:00,MYX:FCPO1!,1430,1432,1415,1422,2646,1429
9/5/2005 21:00,MYX:FCPO1!,1432,1436,1426,1429,3131,1405
10/5/2005 21:00,MYX:FCPO1!,1425,1426,1381,1405,6371,1414
11/5/2005 21:00,MYX:FCPO1!,1401,1414,1396,1414,2346,1407
12/5/2005 21:00,MYX:FCPO1!,1407,1413,1402,1407,1575,1400
16/5/2005 10:00,MYX:FCPO1!,1398,1402,1389,1400,4528,1382
16/5/2005 21:00,MYX:FCPO1!,1395,1404,1381,1382,5044,1392
17/5/2005 21:00,MYX:FCPO1!,1377,1398,1377,1392,3907,1393
18/5/2005 21:00,MYX:FCPO1!,1399,1403,1390,1393,3362,1384
19/5/2005 21:00,MYX:FCPO1!,1389,1391,1380,1384,2624,1389
23/5/2005 21:00,MYX:FCPO1!,1391,1397,1387,1389,2346,1392
24/5/2005 21:00,MYX:FCPO1!,1393,1395,1385,1392,2398,1402
25/5/2005 21:00,MYX:FCPO1!,1400,1408,1396,1402,3302,1417
26/5/2005 21:00,MYX:FCPO1!,1411,1423,1411,1417,3961,1411
30/5/2005 10:00,MYX:FCPO1!,1408,1418,1407,1411,1254,1412
30/5/2005 21:00,MYX:FCPO1!,1424,1424,1408,1412,3445,1393
31/5/2005 21:00,MYX:FCPO1!,1407,1408,1392,1393,2884,1390
1/6/2005 21:00,MYX:FCPO1!,1397,1399,1385,1390,3179,1391
2/6/2005 21:00,MYX:FCPO1!,1380,1393,1378,1391,2296,1405
6/6/2005 10:00,MYX:FCPO1!,1398,1408,1398,1405,1775,1389
6/6/2005 21:00,MYX:FCPO1!,1404,1404,1388,1389,2345,1389
7/6/2005 21:00,MYX:FCPO1!,1388,1394,1384,1389,1478,1362
8/6/2005 21:00,MYX:FCPO1!,1384,1386,1361,1362,5785,1373
9/6/2005 21:00,MYX:FCPO1!,1367,1385,1367,1373,4021,1380
13/6/2005 10:00,MYX:FCPO1!,1369,1382,1364,1380,3781,1380
13/6/2005 21:00,MYX:FCPO1!,1380,1384,1374,1380,1786,1377
14/6/2005 21:00,MYX:FCPO1!,1375,1388,1371,1377,2446,1395
15/6/2005 21:00,MYX:FCPO1!,1395,1399,1390,1395,3400,1409
16/6/2005 21:00,MYX:FCPO1!,1393,1410,1388,1409,3913,1440
20/6/2005 10:00,MYX:FCPO1!,1438,1447,1433,1440,6768,1422
