date,price
2005-09-01,1709.57
2005-10-01,1763.95
2005-11-01,1763.76
2005-12-01,1725.79
2006-01-01,1721.96
2006-02-01,1765.41
2006-03-01,1750.62
2006-04-01,1743.15
2006-05-01,1748.84
2006-06-01,1752.37
2006-07-01,1831.58
2006-08-01,1963.38
2006-09-01,1877.69
2006-10-01,1891.61
2006-11-01,2082.71
2006-12-01,2224.65
2007-01-01,2236.55
2007-02-01,2255.82
2007-03-01,2308.28
2007-04-01,2556.68
2007-05-01,2776.31
2007-06-01,2870.4
2007-07-01,2941.27
2007-08-01,2894.63
2007-09-01,2957.49
2007-10-01,3129.16
2007-11-01,3352.7
2007-12-01,3341.59
2008-01-01,3667.05
2008-02-01,4087.85
2008-03-01,4388.86
2008-04-01,4174.37
2008-05-01,4268.52
2008-06-01,4212.81
2008-07-01,3943.75
2008-08-01,3206.12
2008-09-01,2842.85
2008-10-01,2241.93
2008-11-01,2084.96
2008-12-01,2087.83
2009-01-01,2348.49
2009-02-01,2385.66
2009-03-01,2425.91
2009-04-01,2886.94
2009-05-01,3073.68
2009-06-01,2774.35
2009-07-01,2477.21
2009-08-01,2624.38
2009-09-01,2461.3
2009-10-01,2466.55
2009-11-01,2587.27
2009-12-01,2803.75
2010-01-01,2804.35
2010-02-01,2835.02
2010-03-01,2869.37
2010-04-01,2766.06
2010-05-01,2785.22
2010-06-01,2695.44
2010-07-01,2709.73
2010-08-01,2975.21
2010-09-01,2947.02
2010-10-01,3180.54
2010-11-01,3517.82
2010-12-01,3863.68
2011-01-01,3990.39
2011-02-01,4041.0
2011-03-01,3770.94
2011-04-01,3674.35
2011-05-01,3706.0
2011-06-01,3612.62
2011-07-01,3544.08
2011-08-01,3598.7
2011-09-01,3515.73
2011-10-01,3280.77
2011-11-01,3506.53
2011-12-01,3547.08
2012-01-01,3496.05
2012-02-01,3467.32
2012-03-01,3639.02
2012-04-01,3777.25
2012-05-01,3482.77
2012-06-01,3267.15
2012-07-01,3336.54
2012-08-01,3186.93
2012-09-01,3084.92
2012-10-01,2709.09
2012-11-01,2640.54
2012-12-01,2577.31
2013-01-01,2688.83
2013-02-01,2848.89
2013-03-01,2771.59
2013-04-01,2665.96
2013-05-01,2653.34
2013-06-01,2761.19
2013-07-01,2639.26
2013-08-01,2688.62
2013-09-01,2683.68
2013-10-01,2732.62
2013-11-01,2890.46
2013-12-01,2880.56
2014-01-01,2849.43
2014-02-01,2994.01
2014-03-01,3132.48
2014-04-01,3018.84
2014-05-01,2901.53
2014-06-01,2774.23
2014-07-01,2718.79
2014-08-01,2475.03
2014-09-01,2448.21
2014-10-01,2499.08
2014-11-01,2556.22
2014-12-01,2504.35
2015-01-01,2582.27
2015-02-01,2598.85
2015-03-01,2572.42
2015-04-01,2482.23
2015-05-01,2512.76
2015-06-01,2639.46
2015-07-01,2585.27
2015-08-01,2441.65
2015-09-01,2579.19
2015-10-01,2720.35
2015-11-01,2626.27
2015-12-01,2600.24
2016-01-01,2657.35
2016-02-01,2844.59
2016-03-01,2923.83
2016-04-01,3025.96
2016-05-01,3047.72
2016-06-01,2937.57
2016-07-01,2727.56
2016-08-01,3104.83
2016-09-01,3277.99
2016-10-01,3132.3
2016-11-01,3314.63
2016-12-01,3619.93
2017-01-01,3681.41
2017-02-01,3594.41
2017-03-01,3457.08
2017-04-01,3314.51
2017-05-01,3292.07
2017-06-01,3143.11
2017-07-01,3090.92
2017-08-01,3075.94
2017-09-01,3178.87
2017-10-01,3157.88
2017-11-01,3045.32
2017-12-01,2769.64
2018-01-01,2784.12
2018-02-01,2776.56
2018-03-01,2755.6
2018-04-01,2724.94
2018-05-01,2724.01
2018-06-01,2625.9
2018-07-01,2495.02
2018-08-01,2512.69
2018-09-01,2505.68
2018-10-01,2454.97
2018-11-01,2256.61
2018-12-01,2233.88
2019-01-01,2406.17
2019-02-01,2456.71
2019-03-01,2337.38
2019-04-01,2420.91
2019-05-01,2348.56
2019-06-01,2298.05
2019-07-01,2242.56
2019-08-01,2454.73
2019-09-01,2428.83
2019-10-01,2477.04
2019-11-01,2841.17
2019-12-01,3196.59
2020-01-01,3406.83
2020-02-01,3035.28
2020-03-01,2733.56
2020-04-01,2651.88
2020-05-01,2504.71
2020-06-01,2806.79
2020-07-01,2959.72
2020-08-01,3186.16
2020-09-01,3305.09
2020-10-01,3402.78
2020-11-01,3779.19
2020-12-01,4129.47
2021-01-01,3997.72
2021-02-01,4126.35
2021-03-01,4234.71
2021-04-01,4446.03
2021-05-01,4689.36
2021-06-01,4153.07
2021-07-01,4463.1
2021-08-01,4819.64
2021-09-01,4926.48
2021-10-01,5453.61
2021-11-01,5596.43
2021-12-01,5359.95
2022-01-01,5633.44
2022-02-01,6375.34
2022-03-01,7464.92
2022-04-01,7179.61
2022-05-01,7529.08
2022-06-01,6607.28
2022-07-01,4693.41
2022-08-01,4581.75
2022-09-01,4135.06
2022-10-01,4172.33
2022-11-01,4385.82
2022-12-01,4149.54
2023-01-01,4078.68
2023-02-01,4156.46
2023-03-01,4343.73
2023-04-01,4445.87
2023-05-01,4231.58
2023-06-01,3787.36
2023-07-01,4030.93
2023-08-01,3966.68
2023-09-01,3882.53
2023-10-01,3817.98
2023-11-01,3893.63
2023-12-01,3799.09
2024-01-01,3958.04
2024-02-01,4089.06
2024-03-01,4446.15
2024-04-01,4460.55
2024-05-01,4053.05
2024-06-01,4114.93
2024-07-01,4190.67
2024-08-01,4119.83
2024-09-01,4181.75
2024-10-01,4627.3
2024-11-01,5186.14
2024-12-01,5301.35
2025-01-01,4785.48
2025-02-01,4741.38
2025-03-01,4735.71
2025-04-01,4390.93
2025-05-01,3872.21
2025-06-01,3967.92
